date,time,dept,type,ticketNo
2026-05-12,14:12:08,civil,regular,14,completed,window1
2026-05-12,14:12:09,civil,regular,15,assigned,window1
2026-05-12,14:12:09,civil,regular,15,completed,window1
2026-05-12,14:12:20,civil,priority,16,assigned,priorityWindow
2026-05-12,14:12:20,civil,priority,16,completed,priorityWindow
2026-05-12,14:12:21,civil,priority,17,assigned,priorityWindow
2026-05-12,14:12:22,civil,priority,17,completed,priorityWindow
2026-05-12,14:15:59,national,priority,6,assigned,priorityWindow
2026-05-12,14:16:02,national,priority,6,completed,priorityWindow
2026-05-12,14:16:07,national,regular,8,created,
2026-05-12,14:16:09,national,priority,9,created,
2026-05-12,14:16:11,national,priority,10,created,
2026-05-12,14:28:37,national,regular,11,created,
2026-05-12,14:31:09,civil,regular,18,created,
2026-05-12,14:31:11,civil,priority,19,created,
2026-05-12,14:31:14,civil,regular,20,created,
2026-05-12,14:31:16,civil,regular,21,created,
2026-05-12,14:31:21,civil,priority,22,created,
2026-05-12,14:45:54,civil,priority,19,assigned,priorityWindow
2026-05-12,14:45:59,civil,priority,19,completed,priorityWindow
2026-05-12,14:46:03,civil,priority,22,assigned,priorityWindow
2026-05-12,14:46:21,civil,priority,22,completed,priorityWindow
2026-05-12,14:53:49,civil,regular,23,created,
2026-05-12,14:53:51,civil,priority,24,created,
2026-05-12,14:53:53,civil,priority,25,created,
2026-05-12,14:55:56,civil,regular,18,assigned,window1
2026-05-12,14:55:57,civil,regular,18,completed,window1
2026-05-12,15:14:26,national,regular,5,assigned,window2
2026-05-12,15:14:28,national,regular,5,completed,window2
2026-05-12,15:14:31,national,regular,7,assigned,window2
2026-05-12,15:14:32,national,regular,7,completed,window2
2026-05-12,15:14:39,national,priority,9,assigned,priorityWindow
2026-05-12,15:14:41,national,priority,9,completed,priorityWindow
2026-05-12,15:14:43,national,priority,10,assigned,priorityWindow
2026-05-12,15:14:45,national,priority,10,completed,priorityWindow
2026-05-12,15:14:56,civil,regular,20,assigned,window1
2026-05-12,15:14:59,civil,regular,20,completed,window1
2026-05-12,15:15:03,civil,regular,21,assigned,window1
2026-05-12,15:15:04,civil,regular,21,completed,window1
2026-05-12,15:15:12,civil,priority,25,assigned,priorityWindow
2026-05-12,15:15:15,civil,priority,25,completed,priorityWindow
2026-05-12,15:15:18,civil,priority,24,assigned,priorityWindow
2026-05-12,15:15:20,civil,priority,24,completed,priorityWindow
2026-05-12,15:30:42,civil,regular,23,assigned,window1
2026-05-12,15:45:55,national,regular,8,assigned,window1
2026-05-12,15:45:58,national,regular,8,completed,window1
2026-05-12,15:45:59,national,regular,11,assigned,window1
2026-05-12,15:46:54,civil,regular,23,completed,window1
2026-05-12,15:48:57,national,regular,11,completed,window1
2026-05-12,15:49:08,national,regular,12,created,
2026-05-12,15:49:10,national,regular,13,created,
2026-05-12,15:49:11,national,regular,12,assigned,window1
2026-05-12,15:49:12,national,regular,12,completed,window1
2026-05-12,15:49:13,national,regular,14,created,
2026-05-12,15:49:13,national,regular,13,assigned,window1
2026-05-12,15:49:15,national,regular,15,created,
2026-05-12,15:49:15,national,regular,13,completed,window1
2026-05-12,15:49:16,national,regular,14,assigned,window1
2026-05-12,15:49:16,national,regular,16,created,
2026-05-12,15:49:18,national,regular,14,completed,window1
2026-05-12,15:49:21,national,regular,17,created,
2026-05-12,15:49:23,national,priority,18,created,
2026-05-12,15:49:39,civil,priority,26,created,
2026-05-12,15:49:58,civil,priority,27,created,
2026-05-12,15:53:02,civil,regular,28,created,
2026-05-12,16:05:36,national,regular,19,created,
2026-05-12,16:15:36,national,regular,20,created,
2026-05-12,16:15:39,civil,priority,29,created,
2026-05-12,16:16:04,national,regular,21,created,
2026-05-12,17:47:24,national,regular,1,created,
2026-05-12,17:58:15,national,regular,2,created,
2026-05-12,17:58:48,national,regular,2,assigned,window1
2026-05-12,17:58:50,national,regular,2,completed,window1
2026-05-12,17:58:52,national,regular,1,assigned,window1
